stn,Year,Month,Monthly Rainfall(mm),Evapotranspiration (mm),Earth Skin Temperature,Water depth(m)
RSM-04,2017,1,189.4,100.9,25.17,1.9
RSM-04,2017,2,164.2,96.3,26.35,2.24
RSM-04,2017,3,239.3,106.8,26.82,2.46
RSM-04,2017,4,95.9,73.7,29.33,2.5
RSM-04,2017,5,69.3,101.6,28.77,2.29
RSM-04,2017,6,136.5,103.1,28.15,1.9
RSM-04,2017,7,48.5,85.1,28.77,1.48
RSM-04,2017,8,139.4,91.7,28.47,1.14
RSM-04,2017,9,5.1,101.9,27.85,1
RSM-04,2017,10,8.7,69.6,27.58,1.16
RSM-04,2017,11,77,96.9,25.34,1.66
RSM-04,2017,12,182.9,107.5,24.57,2.24
RSM-04,2018,1,33.8,109.9,24.33,2.65
RSM-04,2018,2,417.6,124.3,26.78,2.66
RSM-04,2018,3,247.3,103.4,28.14,2.45
RSM-04,2018,4,127.8,50.9,29.18,2.2
RSM-04,2018,5,41.9,97.1,26.91,2.1
RSM-04,2018,6,73,101.2,26.3,2.03
RSM-04,2018,7,80.4,77.1,26.88,1.84
RSM-04,2018,8,279.9,77.5,27.6,1.41
RSM-04,2018,9,6,73.2,28.95,1.01
RSM-04,2018,10,0.2,80.9,26.12,0.94
RSM-04,2018,11,35.1,99,25.14,1.41
RSM-04,2018,12,247.4,95.9,24.27,2.1
RSM-04,2019,1,0,113.4,24.12,2.65
RSM-04,2019,2,366.2,113.3,26.66,2.72
RSM-04,2019,3,256.5,79.7,29.85,2.5
RSM-04,2019,4,430.7,54.9,31.93,2.2
RSM-04,2019,5,56.9,82.5,30.75,2.04
RSM-04,2019,6,2,58.5,29.85,1.95
RSM-04,2019,7,91.5,63.5,29.75,1.84
RSM-04,2019,8,58.4,69.3,27.98,1.61
RSM-04,2019,9,3,77.2,27.41,1.29
RSM-04,2019,10,1.6,62.5,25.9,0.94
RSM-04,2019,11,65.4,103,25.7,1.04
RSM-04,2019,12,117,105.4,24.78,1.17
RSM-05,2017,1,145.8,113.7,25.08,1.81
RSM-05,2017,2,128.7,119.4,25.81,1.91
RSM-05,2017,3,214.4,112.6,27.16,2.01
RSM-05,2017,4,61.1,80.2,30.41,2.18
RSM-05,2017,5,37.6,102.9,29.49,2.38
RSM-05,2017,6,88.2,95.9,28.98,2.51
RSM-05,2017,7,58.5,76.2,29.77,2.42
RSM-05,2017,8,103.2,124.6,28.98,2.03
RSM-05,2017,9,3.7,128.1,28.43,1.61
RSM-05,2017,10,19.8,73,28.23,1.5
RSM-05,2017,11,115.2,116,25.61,1.92
RSM-05,2017,12,167.8,110.5,24.86,2.59
RSM-05,2018,1,39.5,115.8,24.8,3.2
RSM-05,2018,2,397.6,131.4,27.31,3.43
RSM-05,2018,3,220.2,60.9,28.81,3.37
RSM-05,2018,4,110,65.2,29.97,3.15
RSM-05,2018,5,20.6,86.3,27.19,2.9
RSM-05,2018,6,38.7,82.7,27.23,2.58
RSM-05,2018,7,118.4,70.5,28.28,2.12
RSM-05,2018,8,203.2,57.4,28.76,1.5
RSM-05,2018,9,2.8,113.2,30.02,1
RSM-05,2018,10,0.8,100.7,26.46,0.95
RSM-05,2018,11,68.9,96.5,25.26,1.54
RSM-05,2018,12,122.1,106.6,24.55,2.42
RSM-05,2019,1,0,109.4,24.12,3.2
RSM-05,2019,2,355.1,76.9,26.81,3.5
RSM-05,2019,3,228.5,62.8,30.16,3.43
RSM-05,2019,4,322.4,37.3,32.26,3.15
RSM-05,2019,5,93.5,68.7,31.4,2.83
RSM-05,2019,6,2.7,87.4,30.88,2.48
RSM-05,2019,7,99.4,64.7,30.72,2.12
RSM-05,2019,8,24.1,72.6,28.66,1.73
RSM-05,2019,9,2.4,79.5,27.99,1.34
RSM-05,2019,10,2.1,68.1,26.27,0.95
RSM-05,2019,11,53.8,118.6,25.96,1.49
RSM-05,2019,12,139.3,122,24.92,2.47
RSM-07,2017,1,123.4,106,25.08,1.24
RSM-07,2017,2,135.9,86,25.81,1.41
RSM-07,2017,3,254.2,111.3,27.16,1.67
RSM-07,2017,4,74.6,51.1,30.41,2.19
